"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic","negLog10Padj","Regulation"
"NLRP1",-1.54965217978115,-0.0418991277427509,-17.1750869541544,2.93925222475354e-50,4.20214820154527e-49,103.43633031799,48.3765286349433,"Down"
"FLYWCH2",1.10847192689092,0.0677745932380979,17.1658276743768,3.2257132449614e-50,4.60848245783282e-49,103.343645120452,48.3364420613109,"Up"
"TWIST2",-2.25421982045503,1.24164919711501,-17.1632683473032,3.30970212029116e-50,4.72518668494976e-49,103.318027756656,48.3255810285003,"Down"
"RNF40",0.808962078272555,0.121670919066678,17.1625513096798,3.33362236416138e-50,4.7560296828515e-49,103.310850742914,48.3227554435701,"Not Significant"
"KCNC4",-1.44455843161417,-0.236128430004125,-17.1613249764161,3.37493360188761e-50,4.81162408658004e-49,103.298576172552,48.3177083097406,"Down"
"SLC9A3R1",1.94261358035415,1.11868173661359,17.1602745204664,3.41072654894428e-50,4.85927939277072e-49,103.288062101717,48.313428129698,"Up"
"SKAP2",-1.29399710731714,-0.0709161045570552,-17.1551462701239,3.59098536012667e-50,5.11254711812763e-49,103.23673468576,48.2913626764323,"Down"
"MT1L",-2.27439361321422,-0.313872514671278,-17.148630973846,3.83379059510488e-50,5.45445051403348e-49,103.1715283108,48.2632489940661,"Down"
"GNG2",-1.773255087134,0.386025483227999,-17.1479790822927,3.8589695001756e-50,5.4864711799588e-49,103.165004276116,48.2607068977762,"Down"
"IRX1",-3.26256053805018,3.34570379004757,-17.1472589397365,3.88697666296496e-50,5.52246580558274e-49,103.157797243084,48.2578669645453,"Down"
"WHAMML1",-1.46079857126385,0.483489597864288,-17.1459399299212,3.9388021217246e-50,5.5922273553946e-49,103.144597004039,48.2524151803979,"Down"
"LRRC56",2.06019954820003,0.701476434733235,17.1442138259846,4.00766703159407e-50,5.68606801372676e-49,103.127322947573,48.2451879498145,"Up"
"SGK1",-1.6059396057028,-0.608239435379941,-17.1375664440504,4.28429585553105e-50,6.07435040842904e-49,103.060801687573,48.2165001587369,"Down"
"LRRC34",-1.18747922607532,-0.348159629974263,-17.1355152741198,4.37344636522677e-50,6.1964702469362e-49,103.040276212839,48.2078556312776,"Down"
"PCDH18",-1.79853813002557,1.64636173903597,-17.1333755268833,4.46842242714572e-50,6.32666982271046e-49,103.018864804655,48.1988248299816,"Down"
"CDC6",2.1215806694809,-0.463384454032325,17.1324618142707,4.50960424766979e-50,6.38057720225092e-49,103.009721862936,48.1951400321858,"Up"
"GRASP",-1.57318732030745,-0.494915811468693,-17.1314851840968,4.55404114946294e-50,6.43901272716765e-49,102.999949434703,48.191180716493,"Down"
"AVPI1",-1.28490784192978,-0.736908956590117,-17.1309232242419,4.57980845774743e-50,6.4709888257092e-49,102.994326352881,48.1890293501294,"Down"
"HSF2BP",1.32307754796675,0.36939756573003,17.12498475527,4.86116724576061e-50,6.86380767231536e-49,102.934906728925,48.1634348941603,"Up"
"CXCL5",-2.81375361145252,-2.25809969893545,-17.1175366623327,5.23858631044053e-50,7.39162728201677e-49,102.860386836251,48.1312599402518,"Down"
"APOO",0.837424796104945,-0.274642096892576,17.1172163818594,5.25545678117021e-50,7.4103384421308e-49,102.857182477315,48.130161956637,"Not Significant"
"SPEF1",2.52041540515267,1.01562293289316,17.1119552110413,5.54048291772904e-50,7.80687126293597e-49,102.804546672496,48.10752298219,"Up"
"PTPRZ1",-4.19832917913511,-1.26009135380642,-17.109917270565,5.65499377124688e-50,7.96275871904654e-49,102.784158660846,48.0989364437079,"Down"
"C8orf51",1.57638700933044,1.06415719536599,17.1024852815852,6.0929950441282e-50,8.5736249661379e-49,102.709810829955,48.0668355176412,"Up"
"SCT",2.3392237252821,0.184967418290824,17.0986040494264,6.33504332447457e-50,8.90811229119609e-49,102.670986070613,48.0502143171051,"Up"
"APCDD1L",-2.70473431320733,2.17675781881871,-17.0966157647888,6.46273757850862e-50,9.07630014225892e-49,102.651097426086,48.0420911509568,"Down"
"CBX3",0.800873379100064,0.158115797543666,17.0966041219428,6.46349284363495e-50,9.07630014225892e-49,102.65098096482,48.0420911509568,"Not Significant"
"SLC37A1",1.1655485741952,0.116252026254948,17.0943791895217,6.60945356522076e-50,9.27492014312934e-49,102.628725616037,48.0326898209633,"Up"
"DNASE2",0.710750343249405,0.0477257493157282,17.0936508949552,6.65794314928054e-50,9.33658284526841e-49,102.621440804201,48.0298120448608,"Not Significant"
"LOC100240735",-1.50261005105025,0.531120662908923,-17.0930748182589,6.69654973490009e-50,9.38431167627979e-49,102.615678598113,48.0275975766555,"Down"
"GNE",-1.02512585812318,0.00986963310001326,-17.086987004045,7.11845844490884e-50,9.96875524379117e-49,102.554787247453,48.0013590668139,"Down"
"ASPRV1",-1.16179299125753,-0.074137125473767,-17.0844051041117,7.30531876126361e-50,1.0223462451857e-48,102.528963750975,47.990401993725,"Down"
"CSRP1",-1.32368508185035,0.460336386327414,-17.0771344913349,7.85826466756334e-50,1.098979384367e-48,102.456248501824,47.9590104543824,"Down"
"FLT4",-1.29689471337376,0.403718385064982,-17.0698008285224,8.45836991434867e-50,1.18209894037834e-48,102.382907981567,47.927346171964,"Down"
"RPUSD1",1.13218965557587,-0.409991868449919,17.0696469611938,8.47143928046457e-50,1.18312005733291e-48,102.38136928383,47.9269711830207,"Up"
"DKFZP434L187",-1.2644084462833,-0.412089517033917,-17.0652986675621,8.84923892649232e-50,1.23504333895913e-48,102.337886630122,47.9083178022905,"Down"
"TSPAN1",2.72027221733203,1.13859290984755,17.0652239627445,8.85587459510868e-50,1.23512979237487e-48,102.337139603243,47.9082874026064,"Up"
"C19orf51",2.70843612040134,0.861372450150062,17.0637792535677,8.98518325677877e-50,1.25231372886401e-48,102.322693032663,47.9022868583091,"Up"
"SEMA3D",-2.6622795370521,1.09348459054402,-17.0614543756294,9.19724316041321e-50,1.28047571714546e-48,102.299445528641,47.8926286530485,"Down"
"PRDM8",-1.71173819163292,-0.495291651260298,-17.0614275828157,9.19971594149809e-50,1.28047571714546e-48,102.299177618343,47.8926286530485,"Down"
"NDE1",0.947447946370798,0.301159205909423,17.0597872327862,9.35238024838059e-50,1.30084259145836e-48,102.282775346579,47.8857752520909,"Not Significant"
"FAM83H",1.93819365721928,0.460386751393126,17.0519805121476,1.01143497226329e-49,1.40587406774309e-48,102.204717669674,47.852053579838,"Up"
"RBMS1",-1.20141696297413,0.201214385928909,-17.0485096558685,1.04727446516333e-49,1.45470532948601e-48,102.170015301474,47.8372249700724,"Down"
"ARHGAP11A",1.57807936982988,-0.470173256408644,17.0470814594542,1.06238768858618e-49,1.47470042235796e-48,102.155736236824,47.8312961953679,"Up"
"FLJ13197",-1.75814919028264,-0.0980177577929302,-17.0457438129976,1.07674024989533e-49,1.49361333313183e-48,102.142362673414,47.8257618181979,"Down"
"PRCC",0.710615748401105,-0.0296459459302163,17.0377928079382,1.16613995303347e-49,1.61653296662911e-48,102.062873575322,47.7914154342141,"Not Significant"
"DEFB1",-3.3083400633692,-0.645565313649688,-17.0350699633014,1.19842960850797e-49,1.66017273027453e-48,102.035653765598,47.7798467240669,"Down"
"ANO6",-1.13721258581421,0.730070281857153,-17.0344484847878,1.2059239136808e-49,1.66942804773208e-48,102.029441056402,47.7774322942774,"Down"
"COX7A1",-2.16869829548687,0.748375931994524,-17.0342399018305,1.20844965984489e-49,1.67179727200913e-48,102.027355932286,47.7768163877737,"Down"
"ODF2",0.782075288975127,0.264621626593863,17.0312353922742,1.24542332720527e-49,1.72178726649994e-48,101.997321484982,47.7640205083368,"Not Significant"
"DOPEY2",1.20822760664267,0.88844224508107,17.0288116631678,1.27607181039981e-49,1.76297135043796e-48,101.973093447446,47.7537547452434,"Up"
"RNPEP",0.93901998474403,0.322445782229004,17.0280113971544,1.28635587854755e-49,1.77598427616552e-48,101.965093972877,47.7505608836052,"Not Significant"
"FGF17",-1.42354955700404,-1.40676868859338,-17.0243950898939,1.33387062387452e-49,1.84034703683763e-48,101.928946102402,47.7351002737446,"Down"
