"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic"
"ANKRD34A",-0.159270885408364,-0.494451224135974,-1.50781425212965,0.132368133383794,0.164356482656593,-6.73522115627119
"GTF2H2",0.232988690371158,0.173546337003936,1.50779205070282,0.132373815914601,0.164356482656593,-6.73525448079064
"TSNAX-DISC1",-0.1252584580182,-0.103112656362166,-1.5077488879716,0.132384864105396,0.16436026004377,-6.73531926700696
"MRPL54",0.0948549580473062,-0.363970220468597,1.50724350275827,0.132514278866769,0.164510984164889,-6.73607770152339
"OR52E8",0.0325710731678905,0.020095365449277,1.50696241236188,0.13258630065774,0.164590443373044,-6.73649942667966
"SENP8",0.0837249281228973,0.310875360234159,1.50689813354323,0.132602774635188,0.164600941003713,-6.73659585445955
"RBM18",0.0645404740946162,0.582140943374073,1.50651362777368,0.132701352597707,0.164713347571399,-6.73717258530262
"ADAM21P1",0.133678618788223,0.247358032779964,1.50550639924346,0.132959851593231,0.165024227870687,-6.73868266514977
"MYL10",0.0292786305228087,-0.135017583473143,1.50475174001901,0.13315378649278,0.165254941161695,-6.73981342777577
"SLC43A2",-0.110415707328312,-0.313552359324399,-1.50405498465414,0.133333036101133,0.165467401992158,-6.74085693083316
"AIPL1",-0.0553608284926577,-0.314904031689503,-1.50338058936303,0.133506711729995,0.165672920201693,-6.74186649084346
"FGF23",-0.0335941207533797,-0.340988823648733,-1.50160829672677,0.133963964142931,0.166230292164061,-6.74451745245887
"TIRAP",-0.082057302118382,0.419838151757233,-1.50154662991666,0.133979896071188,0.166240013679529,-6.74460963681973
"SPATA1",0.127246306401658,0.291418405074222,1.50140854503403,0.134015576324257,0.166274235930199,-6.74481604329957
"PRKCG",0.122655046059986,-1.60639356962015,1.5008214782607,0.134167352982045,0.166447996079847,-6.74569336919794
"RBM24",0.371991715073636,2.00949099719716,1.50080412823399,0.134171840580876,0.166447996079847,-6.74571929230818
"UBC",-0.0595408936220062,0.0848260104734373,-1.49983968213902,0.13442147864423,0.166747610668643,-6.74715982920957
"SNORA14B",0.0457417268086674,-0.0114114747302518,1.4992168714019,0.134582878946003,0.166937738188717,-6.74808959856518
"UBA3",0.0538588188698665,0.224836400706797,1.49904977049353,0.134626208423839,0.166975766846465,-6.74833899186888
"GAGE1",0.141019732441597,-0.300326154485924,1.49903590737526,0.134629803634171,0.166975766846465,-6.74835968093928
"FHOD1",-0.0871001760254369,-0.0710910981096268,-1.49724372450799,0.135095209353488,0.167542868673861,-6.75103270896494
"PDE6H",0.046996852080086,-0.164807287294693,1.49716086636161,0.135116756635646,0.167559469267883,-6.75115621480395
"FLJ46361",-0.0221203045238147,-0.0385806074146591,-1.49664469219338,0.135251047883192,0.167715874187119,-6.75192545610696
"EXD1",0.102722135187499,-0.168481709067202,1.49620108192476,0.135366543106722,0.167848953915625,-6.75258634761799
"SPDYE7P",0.1247083876076,-0.219615793840452,1.49611523224702,0.135388903148648,0.167866540744157,-6.75271422426683
"PSMG2",-0.0635749486592578,0.056361687074343,-1.49591038917116,0.135442267273176,0.167922564594378,-6.75301931718715
"SUFU",-0.0525392360499753,0.301016522953138,-1.49461606761822,0.135779830986829,0.168330913656981,-6.75494612198003
"MGST2",-0.0850997036907723,-0.0509965559047176,-1.49362585231195,0.136038522673601,0.1686414389523,-6.75641910200967
"CPB1",0.785066311689321,6.62114504781304,1.49315500221108,0.13616166518276,0.168783902077169,-6.75711916930124
"HCRT",0.0264578389955078,-0.223241376375531,1.49284706335755,0.136242247840009,0.168873594648034,-6.75757689950767
"PLSCR2",0.108691565452164,-0.0875842589312694,1.49178633282946,0.13652010685677,0.169207787597772,-6.75915288852629
"PHF15",-0.102524737429078,0.26611217863801,-1.49136446264975,0.136630737932045,0.169334684560512,-6.7597793775717
"WFDC11",0.020096893152614,-0.0437446972042906,1.4912615544319,0.136657735075436,0.169352538606165,-6.75993217256616
"AQP10",0.08782599894392,-0.571806856146404,1.49124666383652,0.136661641845511,0.169352538606165,-6.75995428080581
"TMEM50B",-0.0649143108607218,0.29746610672123,-1.49067244736741,0.136812362102175,0.169529079789814,-6.76080666007152
"TAS2R42",-0.0463662148682659,-0.0867249496134397,-1.49007500178511,0.136969316134295,0.169713323691055,-6.76169317640623
"CD164",-0.0883129290616712,0.757349973480416,-1.48996757251217,0.136997553499584,0.169738067190492,-6.76185254744926
"RNASE6",-0.130236355101678,0.222731859816081,-1.48831818373948,0.137431654928915,0.170265637299537,-6.76429798430847
"CELF1",0.0550738631697085,0.199054611527985,1.48796241325286,0.137525429333848,0.170371534167505,-6.76482510975241
"LOC285954",0.147003532241914,-0.257759312511614,1.48755608939592,0.137632589218324,0.170493999677318,-6.76542698482452
"FEM1A",0.0704169981810266,0.109489849100149,1.48732456693609,0.137693677580178,0.170559382208342,-6.76576985921662
"C12orf35",-0.109591694537442,0.590827429229119,-1.48728902299345,0.137703057885057,0.170560710611175,-6.7658224935284
"WFDC2",0.414574496860914,0.87572392958344,1.48716392458832,0.137736076196261,0.170591315414409,-6.76600773231128
"CA5A",0.0335843102740128,-0.610469310196627,1.48694323774839,0.137794338929917,0.170653180806611,-6.76633447556618
"CGREF1",0.200139984158555,0.436937323374765,1.48666231804342,0.13786853110657,0.170734765569905,-6.76675032865175
"MGC34034",-0.0297890834947043,-0.060860789971583,-1.48430496094177,0.138492338222932,0.171496923037597,-6.77023692542201
"MRPS24",0.0755663351524181,-0.65839547904273,1.48427348885857,0.138500681147752,0.171496923037597,-6.77028343648063
"KIAA1731",-0.0944805756029808,0.366726957834877,-1.48281900302919,0.13888667448572,0.171964503177844,-6.77243188571317
"SGPP2",-0.304975667429457,-2.17968792830425,-1.4824687576114,0.138979747175405,0.172069364944582,-6.77294892867869
"CTSS",-0.148700686499039,-0.325555646692802,-1.48216612503441,0.13906020625173,0.172158598223966,-6.77339558679781
"SLC28A2",-0.114266379158733,-0.836586912225898,-1.48079259490748,0.139425830853905,0.172600838605323,-6.77542165816756
"CA7",0.134223420172649,-0.912767763354599,1.4807594534452,0.139434662058807,0.172601363404721,-6.77547052162269
"FAM75A6",0.0700695593497726,-0.0160796367000242,1.47987053036682,0.139671694659183,0.172884353753348,-6.77678073757762
"POLR3A",0.0706499295901443,0.29290562398954,1.47956150440931,0.139754169737672,0.1729760116184,-6.77723603979076
"GSTA5",-0.0527945842868073,0.00317050841795642,-1.47853646817747,0.140028008134691,0.173304497649216,-6.77874559941609
"RAB24",-0.0839782168632775,-0.346473908847694,-1.47835023423533,0.140077804973471,0.173351738468037,-6.77901975298382
"OR6S1",0.027035196268272,-0.034685032446247,1.47833056233198,0.140083065815136,0.173351738468037,-6.7790487098477
"SLC30A6",0.085182010209328,0.393567213587672,1.47744302536839,0.140320577875962,0.173635191597463,-6.78035475960154
"RNF24",0.120019641495094,0.163471586698238,1.47616592675047,0.140662885134306,0.17404827819475,-6.78223270471575
"ZNF823",0.0949735639263813,1.0221387270122,1.47491584620654,0.140998574390423,0.174444612062526,-6.78406936409089
"GADD45B",-0.144020680043967,0.28365275056826,-1.47488789932424,0.14100608613859,0.174444612062526,-6.78411040697281
"SPP2",0.0185416886698357,-0.51581514635079,1.474878224543,0.141008686662329,0.174444612062526,-6.78412461520855
"SF3B3",-0.0744772311210581,-0.202703991670964,-1.47463787673196,0.141073302605001,0.174514033651523,-6.78447755672507
"ZNF674",-0.0764392829899967,0.157982967825819,-1.47409211338439,0.141220112349033,0.174685118185554,-6.7852787778554
"VDAC2",-0.0650371794872174,-0.217769014462398,-1.47396912247223,0.141253213035917,0.174715535825243,-6.7854592971298
"KNDC1",0.420154286216948,-1.31186764965155,1.47347035324248,0.14138750872489,0.174871109953732,-6.78619121030852
"PLA2G4C",-0.138038578888122,0.141776487300531,-1.47342823533539,0.141398853653882,0.174874606356277,-6.78625300452474
